Time,Right_hand_fatigue,Right_hand_intermittent,Left_hand_fatigue,Left_hand_intermittent,,
37.4,35.5029383388,67.1491378958,27.3218296799,10.5417962691,,
37.5,35.2872913231,70.1681961159,27.5374766956,55.3155079081,,
37.6,35.5029383388,73.3894234132,27.7531237113,84.1582962607,,
37.7,35.5029383388,79.4140619149,27.968770727,80.0610029621,,
37.8,35.7185853545,85.2365313394,27.7531237113,78.9827678835,,
37.9,35.5029383388,78.9827678835,27.968770727,76.4084816333,,
38,36.149879386,87.1638765424,27.7531237113,41.1097607475,,
38.1,36.149879386,46.2718111863,27.968770727,8.60097312764,,
38.2,36.3655264017,4.73280478315,27.5374766956,5.15062087611,,
38.3,37.0124674488,1.71374656307,27.5374766956,4.08586373599,,
38.4,38.0907025274,1.71374656307,27.5374766956,3.65456970455,,
38.5,38.0907025274,1.71374656307,27.968770727,3.65456970455,,
38.6,37.8750555117,1.71374656307,27.7531237113,3.43892268883,,
38.7,37.0124674488,1.71374656307,27.7531237113,3.43892268883,,
38.8,38.3063495432,1.71374656307,27.7531237113,3.43892268883,,
38.9,39.168937606,1.71374656307,27.3218296799,3.43892268883,,
39,39.168937606,1.71374656307,27.7531237113,3.43892268883,,
39.1,38.7376435746,1.71374656307,27.5374766956,3.43892268883,,
39.2,39.168937606,1.71374656307,27.3218296799,3.43892268883,,
39.3,39.168937606,1.71374656307,27.3218296799,3.43892268883,,
39.4,39.3845846218,1.71374656307,27.5374766956,3.43892268883,,
39.5,39.168937606,1.71374656307,27.5374766956,3.43892268883,,
39.6,39.168937606,1.71374656307,26.6883665712,3.43892268883,,
39.7,38.7376435746,1.71374656307,26.8905356484,3.43892268883,,
39.8,38.9532905903,1.71374656307,27.5374766956,3.43892268883,,
39.9,37.8750555117,1.71374656307,27.3218296799,3.43892268883,,
40,37.0124674488,1.71374656307,27.7531237113,3.43892268883,,
40.1,37.8750555117,1.71374656307,27.5374766956,3.43892268883,,
40.2,37.8750555117,1.71374656307,27.3218296799,3.43892268883,,
40.3,36.7968204331,1.71374656307,27.3218296799,3.43892268883,,
40.4,37.0124674488,1.71374656307,27.1061826642,3.65456970455,,
40.5,36.7968204331,1.71374656307,27.1061826642,3.43892268883,,
40.6,37.8750555117,1.71374656307,26.8905356484,3.43892268883,,
40.7,38.7376435746,1.71374656307,27.1061826642,3.43892268883,,
40.8,38.5219965589,1.71374656307,27.3218296799,3.43892268883,,
40.9,38.3063495432,1.71374656307,27.3218296799,3.43892268883,,
41,38.5219965589,1.71374656307,27.3218296799,3.43892268883,,
